=== NEW BUY SYSTEM + CONFIRMATION FILTERS ===
Native 2H | ATR 10 | Multiplier 2.0 | HL2 | Wilder RMA
Filters: 2H momentum > 0% | RVOL >= 1.20 | body >= 50% | 4H AL | 1D AL
No Study | production scanner/state untouched

BIST:A1CAP: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALTIN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALTNY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALVES: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ANELE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ANGEN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ANHYT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ANSGR: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARASE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARCLK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARDYZ: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARENA: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARFYE: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARMGD: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARSAN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARTMS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ARZUM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ASELS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ASGYO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ASTOR: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ASUZU: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATAGY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATAKP: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATATP: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATATR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATEKS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATLAS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ATSYH: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AVGYO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AVHOL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AVOD: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AVPGY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AYCES: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AYDEM: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AYEN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AYES: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AYGAZ: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AZTEK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BAGFS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BAHKM: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BAKAB: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BALAT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BALSU: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BANVT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BARMA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BASCM: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BASGZ: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BAYRK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BEGYO: ENGINE=1->-1 BUY=False | REF=1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BERA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BESLR: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BESTE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BETAE: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BEYAZ: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BFREN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIENY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIGCH: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIGEN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIGTK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIMAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BINBN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BINHO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIOEN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BIZIM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BJKAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BKRGY: ENGINE=1->-1 BUY=False | REF=1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BLCYT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BLUME: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BMSCH: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BMSTL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BNTAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BOBET: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BORLS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BORSK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BOSSA: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRISA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRKO: ENGINE=1->-1 BUY=False | REF=1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRKSN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRKVY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRLSM: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRMEN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRSAN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BRYAT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BSOKE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BTCIM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BUCIM: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BULGS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BURCE: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BURVA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BVSAN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:BYDNR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CANTE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CASA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CATES: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CCOLA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CELHA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CEMAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CEMTS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CEMZY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CEOEM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CGCAM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CIMSA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CITAS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CLEBI: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CMBTN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CMENT: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CONSE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:COSMO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CRDFA: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CRFSA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CUSAN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CVKMD: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:CWENE: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DAGI: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DAPGM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DARDL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DCTTR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DENGE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DERHL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DERIM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DESA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DESPC: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DEVA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DGATE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DGGYO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DGNMO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DIRIT: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DITAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DMLKT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DMRGD: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DMSAS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DNISI: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOAS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOFER: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOFRB: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOGUB: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOHOL: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DOKTA: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DSTKF: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DUNYH: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DURDO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DURKN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DYOBY: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:DZGYO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EBEBK: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ECILC: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ECOGR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ECZYT: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EDATA: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EDIP: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EFOR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGEEN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGEGY: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGEPO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGGUB: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGPRO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EGSER: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EKDMR: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EKIM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EKIZ: ENGINE=1->-1 BUY=False | REF=1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EKOS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EKSUN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ELITE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EMKEL: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EMNIS: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:EMPAE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENDAE: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENERY: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENJSA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENKAI: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENPRA: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ENSRI: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
